"1","Ville","Annee","longitudebis","latitudebis","Longitude","Latitude","Time"
"89"," Bordeaux","1985","0.048609761","45.70228756","-0.5805021","44.8404421","3h54"
"90"," Bordeaux","1986","0.048609761","45.70228756","-0.5805021","44.8404421","3h54"
"91"," Bordeaux","1987","-0.020199349","45.60802321","-0.5805021","44.8404421","4h01"
"92"," Bordeaux","1988","-0.030029222","45.59455687","-0.5805021","44.8404421","4h02"
"93"," Bordeaux","1989","-0.138157824","45.44642718","-0.5805021","44.8404421","4h13"
"94"," Bordeaux","1990","0.599082639","46.45640233","-0.5805021","44.8404421","2h58"
"95"," Bordeaux","1991","0.638402131","46.51026767","-0.5805021","44.8404421","2h54"
"96"," Bordeaux","1992","0.658061875","46.53720034","-0.5805021","44.8404421","2h52"
"97"," Bordeaux","1993","0.599082639","46.45640233","-0.5805021","44.8404421","2h58"
"98"," Bordeaux","1994","0.618742383","46.483335","-0.5805021","44.8404421","2h56"
"99"," Bordeaux","1995","0.60891251","46.46986866","-0.5805021","44.8404421","2h57"
"100"," Bordeaux","1996","0.638402131","46.51026767","-0.5805021","44.8404421","2h54"
"101"," Bordeaux","1997","0.549933273","46.38907065","-0.5805021","44.8404421","3h03"
"102"," Bordeaux","1998","0.60891251","46.46986866","-0.5805021","44.8404421","2h57"
"103"," Bordeaux","1999","0.618742383","46.483335","-0.5805021","44.8404421","2h56"
"104"," Bordeaux","2000","0.60891251","46.46986866","-0.5805021","44.8404421","2h57"
"105"," Bordeaux","2001","0.599082639","46.45640233","-0.5805021","44.8404421","2h58"
"106"," Bordeaux","2002","0.589252765","46.44293599","-0.5805021","44.8404421","2h59"
"107"," Bordeaux","2003","0.638402131","46.51026767","-0.5805021","44.8404421","2h54"
"108"," Bordeaux","2004","0.628572257","46.49680133","-0.5805021","44.8404421","2h55"
"109"," Bordeaux","2005","0.599082639","46.45640233","-0.5805021","44.8404421","2h58"
"110"," Bordeaux","2006","0.599082639","46.45640233","-0.5805021","44.8404421","2h58"
"111"," Bordeaux","2007","0.589252765","46.44293599","-0.5805021","44.8404421","2h59"
"112"," Bordeaux","2008","0.599082639","46.45640233","-0.5805021","44.8404421","2h58"
"113"," Bordeaux","2009","0.579422892","46.42946966","-0.5805021","44.8404421","3h"
"114"," Bordeaux","2010","0.579422892","46.42946966","-0.5805021","44.8404421","3h"
"115"," Bordeaux","2011","0.569593021","46.41600332","-0.5805021","44.8404421","3h"
"116"," Bordeaux","2012","0.569593021","46.41600332","-0.5805021","44.8404421","3h"
"117"," Bordeaux","2013","0.441804674","46.24094097","-0.5805021","44.8404421","3h14"
"118"," Bordeaux","2014","0.441804674","46.24094097","-0.5805021","44.8404421","3h14"
"119"," Bordeaux","2015","0.471294293","46.28133997","-0.5805021","44.8404421","3h11"
"120"," Bordeaux","2016","0.461464419","46.26787363","-0.5805021","44.8404421","3h12"
"121"," Bordeaux","2017","1.129895769","47.18358443","-0.5805021","44.8404421","2h04"
"122"," Brest","1958","-4.4833319","48.4000019","-4.4833319","48.4000019","7h37"
"123"," Brest","1959","-4.4833319","48.4000019","-4.4833319","48.4000019","7h37"
"124"," Brest","1960","-4.4833319","48.4000019","-4.4833319","48.4000019","7h39"
"125"," Brest","1961","-4.304714072","48.41185571","-4.4833319","48.4000019","7h39"
"126"," Brest","1962","-4.304714072","48.41185571","-4.4833319","48.4000019","7h39"
"127"," Brest","1963","-4.304714072","48.41185571","-4.4833319","48.4000019","7h27"
"128"," Brest","1964","-4.304714072","48.41185571","-4.4833319","48.4000019","7h27"
"129"," Brest","1965","-4.289829254","48.41284352","-4.4833319","48.4000019","7h26"
"130"," Brest","1966","-2.935310727","48.50273489","-4.4833319","48.4000019","5h55"
"131"," Brest","1967","-2.935310727","48.50273489","-4.4833319","48.4000019","5h55"
"132"," Brest","1968","-2.801347357","48.51162524","-4.4833319","48.4000019","5h46"
"133"," Brest","1969","-2.712038446","48.51755215","-4.4833319","48.4000019","5h40"
"134"," Brest","1970","-2.65249917","48.52150342","-4.4833319","48.4000019","5h36"
"135"," Brest","1971","-2.5185358","48.53039377","-4.4833319","48.4000019","5h27"
"136"," Brest","1972","-2.5185358","48.53039377","-4.4833319","48.4000019","5h27"
"137"," Brest","1973","-2.5185358","48.53039377","-4.4833319","48.4000019","5h27"
"138"," Brest","1974","-2.488766159","48.53236941","-4.4833319","48.4000019","5h25"
"139"," Brest","1975","-2.488766159","48.53236941","-4.4833319","48.4000019","5h25"
"140"," Brest","1976","-2.563190252","48.52743032","-4.4833319","48.4000019","5h30"
"141"," Brest","1977","-2.563190252","48.52743032","-4.4833319","48.4000019","5h30"
"142"," Brest","1978","-2.563190252","48.52743032","-4.4833319","48.4000019","5h30"
"143"," Brest","1979","-2.533420618","48.52940595","-4.4833319","48.4000019","5h28"
"144"," Brest","1980","-2.563190252","48.52743032","-4.4833319","48.4000019","5h30"
"145"," Brest","1981","-2.622729529","48.52347905","-4.4833319","48.4000019","5h34"
"146"," Brest","1982","-2.697153629","48.51853997","-4.4833319","48.4000019","5h39"
"147"," Brest","1983","-2.697153629","48.51853997","-4.4833319","48.4000019","5h39"
"148"," Brest","1984","-2.712038446","48.51755215","-4.4833319","48.4000019","5h40"
"149"," Brest","1985","-2.697153629","48.51853997","-4.4833319","48.4000019","5h39"
"150"," Brest","1986","-2.667383987","48.5205156","-4.4833319","48.4000019","5h37"
"151"," Brest","1987","-2.607844711","48.52446687","-4.4833319","48.4000019","5h33"
"152"," Brest","1988","-2.607844711","48.52446687","-4.4833319","48.4000019","5h33"
"153"," Brest","1989","-1.253326184","48.61435824","-4.4833319","48.4000019","4h02"
"154"," Brest","1990","-1.208671732","48.61732169","-4.4833319","48.4000019","3h59"
"155"," Brest","1991","-1.193786914","48.6183095","-4.4833319","48.4000019","3h58"
"156"," Brest","1992","-1.208671732","48.61732169","-4.4833319","48.4000019","3h59"
"157"," Brest","1993","-1.164017273","48.62028514","-4.4833319","48.4000019","3h56"
"158"," Brest","1994","-1.164017273","48.62028514","-4.4833319","48.4000019","3h56"
"159"," Brest","1995","-1.164017273","48.62028514","-4.4833319","48.4000019","3h56"
"160"," Brest","1996","-1.149132456","48.62127296","-4.4833319","48.4000019","3h55"
"161"," Brest","1997","-1.238441366","48.61534605","-4.4833319","48.4000019","4h01"
"162"," Brest","1998","-1.223556549","48.61633387","-4.4833319","48.4000019","4h"
"163"," Brest","1999","-1.431944012","48.60250443","-4.4833319","48.4000019","4h14"
"164"," Brest","2000","-1.238441366","48.61534605","-4.4833319","48.4000019","4h01"
