ï»¿Ville;Annee;Longitude;Latitude;Time
 Bordeaux;1958;-0.5805021;44.8404421;4h58
 Bordeaux;1959;-0.482203468456376;44.9751055489933;4h48
 Bordeaux;1960;-0.433054197651007;45.0424373184564;4h43
 Bordeaux;1961;-0.43305429261745;45.0424374134228;4h43
 Bordeaux;1962;-0.433054387583893;45.0424375083893;4h43
 Bordeaux;1963;-0.433054482550336;45.0424376033557;4h43
 Bordeaux;1964;-0.433054577516778;45.0424376983221;4h43
 Bordeaux;1965;-0.433054672483222;45.0424377932886;4h43
 Bordeaux;1966;-0.433054767449665;45.042437888255;4h43
 Bordeaux;1967;-0.285606724832215;45.244432966443;4h28
 Bordeaux;1968;-0.206967805369128;45.3521637114094;4h20
 Bordeaux;1969;-0.13815875704698;45.4464281194631;4h13
 Bordeaux;1970;-0.138158841946309;45.4464282043624;4h13
 Bordeaux;1971;-0.0103705234899327;45.621490590604;4h
 Bordeaux;1972;-0.0103706040268454;45.6214906711409;4h
 Bordeaux;1973;-0.0103706845637581;45.6214907516779;4h
 Bordeaux;1974;-0.0103707651006708;45.6214908322148;4h
 Bordeaux;1975;-0.0103708456375839;45.6214909127517;4h
 Bordeaux;1976;-0.0103709261744966;45.6214909932886;4h
 Bordeaux;1977;0.0879277852348994;45.7561543624161;3h50
 Bordeaux;1978;0.0879277080536913;45.7561544395973;3h50
 Bordeaux;1979;0.0879276308724832;45.7561545167785;3h50
 Bordeaux;1980;0.0879275536912751;45.7561545939597;3h50
 Bordeaux;1981;0.087927476510067;45.7561546711409;3h50
 Bordeaux;1982;-0.0300311711409398;45.5945588221476;4h02
 Bordeaux;1983;-0.0398611335570469;45.5810925765101;4h03
 Bordeaux;1984;-0.0791807412751679;45.5272273520134;4h07
 Bordeaux;1985;0.0486076402684565;45.7022896751678;3h54
 Bordeaux;1986;0.0486075617449666;45.7022897536913;3h54
 Bordeaux;1987;-0.0202016946308725;45.6080255536913;4h01
 Bordeaux;1988;-0.0300316583892619;45.594559309396;4h02
 Bordeaux;1989;-0.138160455033557;45.4464298174497;4h13
 Bordeaux;1990;0.599080726845638;46.4564042395973;2h58
 Bordeaux;1991;0.638400202684564;46.5102695959732;2h54
 Bordeaux;1992;0.658059912751678;46.5372023020134;2h52
 Bordeaux;1993;0.599080547651007;46.4564044187919;2h58
 Bordeaux;1994;0.618740257718121;46.4833371248322;2h56
 Bordeaux;1995;0.608910313422819;46.4698708610738;2h57
 Bordeaux;1996;0.638399910738255;46.5102698879195;2h54
 Bordeaux;1997;0.549930879194631;46.3890730469799;3h03
 Bordeaux;1998;0.6089101352349;46.4698710392617;2h57
 Bordeaux;1999;0.618739962416107;46.4833374201342;2h56
 Bordeaux;2000;0.608910016442953;46.4698711580537;2h57
 Bordeaux;2001;0.599080069798658;46.4564048966443;2h58
 Bordeaux;2002;0.589250122483222;46.442938635906;2h59
 Bordeaux;2003;0.638399502013423;46.5102702966443;2h54
 Bordeaux;2004;0.628569555369128;46.4968040352349;2h55
 Bordeaux;2005;0.599079830872483;46.4564051355705;2h58
 Bordeaux;2006;0.59907977114094;46.456405195302;2h58
 Bordeaux;2007;0.589249822147651;46.4429389362416;2h59
 Bordeaux;2008;0.599079651677852;46.4564053147651;2h58
 Bordeaux;2009;0.579419812080537;46.429472738255;3h
 Bordeaux;2010;0.579419751677853;46.4294727986577;3h
 Bordeaux;2011;0.569589800671141;46.4160065416107;3h01
 Bordeaux;2012;0.569589739932886;46.416006602349;3h01
 Bordeaux;2013;0.44180109261745;46.2409445449664;3h14
 Bordeaux;2014;0.441801027516779;46.2409446100671;3h14
 Bordeaux;2015;0.471290638255034;46.2813436234899;3h11
 Bordeaux;2016;0.461460681879195;46.2678773718121;3h12
 Bordeaux;2017;1.12989331543624;47.183586885906;2h04
