Ville,Annee,Longitude,Latitude
 CLERMONT FERRAND,1974,3.274251818,44.9962111
 CLERMONT FERRAND,1975,3.297582536,44.89897079
 CLERMONT FERRAND,1976,3.309247895,44.85035063
 CLERMONT FERRAND,1977,3.223701929,45.20689843
 CLERMONT FERRAND,1978,3.247032647,45.10965812
 CLERMONT FERRAND,1979,3.223701929,45.20689843
 CLERMONT FERRAND,1980,3.223701929,45.20689843
 CLERMONT FERRAND,1981,3.223701929,45.20689843
 CLERMONT FERRAND,1982,3.223701929,45.20689843
 CLERMONT FERRAND,1983,3.223701929,45.20689843
 CLERMONT FERRAND,1984,3.223701929,45.20689843
 CLERMONT FERRAND,1985,3.223701929,45.20689843
 CLERMONT FERRAND,1986,3.266474912,45.02862453
 CLERMONT FERRAND,1987,3.223701929,45.20689843
 CLERMONT FERRAND,1988,3.239255741,45.14207156
 CLERMONT FERRAND,1989,3.223701929,45.20689843
 CLERMONT FERRAND,1990,3.153709774,45.49861936
 CLERMONT FERRAND,1991,3.153709774,45.49861936
 CLERMONT FERRAND,1992,3.130379056,45.59585967
 CLERMONT FERRAND,1993,3.130379056,45.59585967
 CLERMONT FERRAND,1994,3.130379056,45.59585967
 CLERMONT FERRAND,1995,3.138155962,45.56344623
 CLERMONT FERRAND,1996,3.138155962,45.56344623
 CLERMONT FERRAND,1997,3.138155962,45.56344623
 CLERMONT FERRAND,1998,3.145932868,45.53103279
 CLERMONT FERRAND,1999,3.087606073,45.77413356
 CLERMONT FERRAND,2000,3.138155962,45.56344623
 CLERMONT FERRAND,2001,3.095382979,45.74172013
 CLERMONT FERRAND,2002,3.08371762,45.79034028
 CLERMONT FERRAND,2003,3.08371762,45.79034028
 CLERMONT FERRAND,2004,3.08371762,45.79034028
 CLERMONT FERRAND,2005,3.08371762,45.79034028
 CLERMONT FERRAND,2006,3.08371762,45.79034028
 CLERMONT FERRAND,2007,3.075940714,45.82275372
 CLERMONT FERRAND,2008,3.04483309,45.95240746
 CLERMONT FERRAND,2009,3.04483309,45.95240746
 CLERMONT FERRAND,2010,3.04483309,45.95240746
 CLERMONT FERRAND,2011,3.04483309,45.95240746
 CLERMONT FERRAND,2012,3.04483309,45.95240746
 CLERMONT FERRAND,2013,3.04483309,45.95240746
 CLERMONT FERRAND,2014,3.04483309,45.95240746
 CLERMONT FERRAND,2015,3.064275355,45.87137387
 CLERMONT FERRAND,2016,3.08371762,45.79034028
 CLERMONT FERRAND,2017,3.087606073,45.77413356
 DIJON,1958,4.457344593,47.63885213
 DIJON,1959,4.457344593,47.63885213
 DIJON,1960,4.414018335,47.6638088
 DIJON,1961,4.399576248,47.67212769
 DIJON,1962,4.399576248,47.67212769
 DIJON,1963,4.428460421,47.65548991
 DIJON,1964,4.428460421,47.65548991
 DIJON,1965,4.414018335,47.6638088
 DIJON,1966,4.414018335,47.6638088
 DIJON,1967,4.414018335,47.6638088
 DIJON,1968,4.414018335,47.6638088
 DIJON,1969,4.370692076,47.68876547
 DIJON,1970,4.312923731,47.72204103
 DIJON,1971,4.312923731,47.72204103
 DIJON,1972,4.284039558,47.73867881
 DIJON,1973,4.385134162,47.68044658
 DIJON,1974,4.327365817,47.71372214
 DIJON,1975,4.327365817,47.71372214
 DIJON,1976,4.327365817,47.71372214
 DIJON,1977,4.341807903,47.70540325
 DIJON,1978,4.341807903,47.70540325
 DIJON,1979,4.370692076,47.68876547
 DIJON,1980,4.385134162,47.68044658
 DIJON,1981,4.370692076,47.68876547
 DIJON,1982,4.226271213,47.77195437
 DIJON,1983,4.226271213,47.77195437
 DIJON,1984,3.735240281,48.05479661
 DIJON,1985,3.735240281,48.05479661
 DIJON,1986,3.735240281,48.05479661
 DIJON,1987,3.735240281,48.05479661
 DIJON,1988,3.735240281,48.05479661
 DIJON,1989,3.735240281,48.05479661
 DIJON,1990,3.735240281,48.05479661
 DIJON,1991,3.735240281,48.05479661
 DIJON,1992,3.735240281,48.05479661
 DIJON,1993,3.735240281,48.05479661
 DIJON,1994,3.735240281,48.05479661
 DIJON,1995,3.778566539,48.02983994
 DIJON,1996,3.793008626,48.02152105
 DIJON,1997,3.749682367,48.04647772
 DIJON,1998,3.793008626,48.02152105
 DIJON,1999,3.778566539,48.02983994
 DIJON,2000,3.778566539,48.02983994
 DIJON,2001,3.735240281,48.05479661
 DIJON,2002,3.749682367,48.04647772
 DIJON,2003,3.749682367,48.04647772
 DIJON,2004,3.749682367,48.04647772
 DIJON,2005,3.764124453,48.03815883
 DIJON,2006,3.720798194,48.0631155
 DIJON,2007,3.749682367,48.04647772
 DIJON,2008,3.735240281,48.05479661
 DIJON,2009,3.749682367,48.04647772
 DIJON,2010,3.749682367,48.04647772
 DIJON,2011,3.706356108,48.07143439
 DIJON,2012,3.663029849,48.09639106
 DIJON,2013,3.677471936,48.08807217
 DIJON,2014,3.677471936,48.08807217
 DIJON,2015,3.663029849,48.09639106
 DIJON,2016,3.663029849,48.09639106
 DIJON,2017,3.663029849,48.09639106
